Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
;;0;0;0;0;100.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;90.0;20.0;3;0;flexible;;2;1125
;180.0;5;8;33;123;97.0;Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Futon;56.0;30.0;2;10;strict;;3;1125
Palacio;175.0;0;5;35;310;96.0;Palacio;Centro;Apartment;Private room;1;1.0;1.0;1.0;Pull-out Sofa;25.0;20.0;1;0;moderate;;3;1125
Palacio;500.0;2;20;38;306;98.0;Palacio;Centro;Other;Entire home/apt;4;1.0;1.0;2.0;Real Bed;75.0;45.0;2;15;moderate;;2;10000
;250.0;3;8;14;262;98.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;86.0;10.0;2;5;strict;;3;999
Embajadores;;6;15;22;71;93.0;Embajadores;Centro;Other;Private room;2;1.0;1.0;1.0;Real Bed;29.0;10.0;1;0;moderate;;2;1125
;;9;39;69;344;94.0;Quintana;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;23.0;8.0;1;0;strict;;2;1125
Sol;150.0;0;0;0;0;93.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;85.0;40.0;2;20;strict;;2;1125
Ciudad Lineal;100.0;0;0;0;265;100.0;Quintana;Ciudad Lineal;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;55.0;20.0;2;0;strict;;1;1125
;200.0;5;5;20;295;80.0;Acacias;Arganzuela;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;70.0;;4;10;strict;;2;180
;300.0;2;4;34;309;80.0;Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;70.0;10.0;1;0;moderate;;1;1125
La Latina;100.0;10;25;35;283;90.0;Palacio;Centro;Apartment;Entire home/apt;7;2.0;2.0;6.0;Real Bed;115.0;50.0;4;10;flexible;;3;1125
Guindalera;;0;5;35;294;85.0;Guindalera;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;19.0;;1;17;strict;;3;365
Malasaña;;1;1;12;80;88.0;Universidad;Centro;Other;Entire home/apt;2;1.0;0.0;1.0;Real Bed;50.0;;1;6;moderate;;1;15
;70.0;12;42;72;347;93.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;38.0;12.0;1;10;moderate;;2;1125
;;0;0;0;0;93.0;Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;30.0;15.0;2;15;strict;;1;1125
Sol;;2;7;14;251;97.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;75.0;;2;0;flexible;;2;1125
Puente de Vallecas;;26;56;86;361;74.0;San Diego;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;15.0;;1;5;flexible;;1;1125
Malasaña;150.0;3;14;27;28;60.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;60.0;;1;0;moderate;;3;1125
;150.0;15;45;75;75;;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;85.0;50.0;1;0;flexible;;4;1125
;;4;16;43;165;86.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;55.0;30.0;2;10;moderate;;2;1125
Goya;250.0;5;16;30;251;88.0;Goya;Salamanca;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;160.0;49.0;4;10;strict;;2;1125
Almagro;;0;6;36;126;;Almagro;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;105.0;;2;15;strict;;7;1125
